Judul,Harga_Rupiah,Provinsi,Kota,Kecamatan,Kamar_Tidur,Kamar_Mandi,Luas_Tanah_m2,Luas_Bangunan_m2,Daya_Listrik_Watt,Jumlah_Lantai,Tipe_Properti
"Dijual Rumah Eksklusif 3 KT di Pulogebang, Jakarta Timur",2300000000,Jakarta,Jakarta Timur,,3,2,298.0,99.0,0.0,1.0,secondary
Jual Rumah Strategis Bagus Punya 3 KT di Ciracas Jakarta Timur SHM,600000000,Jakarta,Jakarta Timur,Ciracas,3,2,52.0,52.0,0.0,2.0,secondary
Jakarta Garden City (Landed House),1313000000,Jakarta,Jakarta Timur,Cakung,0,0,,,,,
"Dijual Hunian Rumah Nyaman 3 KT di Cijantung, Jakarta Timur",670000000,Jakarta,Jakarta Timur,,3,2,54.0,52.0,2200.0,2.0,secondary
"Best Deal Hunian Premium Ideal dan Luas di Kelapa Gading, Jakarta Utara",5600000000,Jakarta,Jakarta Utara,Kelapa Gading,4,3,180.0,250.0,5500.0,1.0,secondary
Rumah Minimalis 3 Kamar LT 90m2 di Green Lake City,2400000000,Jakarta,Jakarta Barat,,3,3,90.0,125.0,2200.0,2.0,secondary
Rumah Modern Minimalis 2 Kamar Siap Huni di Cengkareng,650000000,Jakarta,Jakarta Barat,Cengkareng,2,1,46.0,40.0,2200.0,2.0,secondary
Nivara Resort Townhouse at Wijaya,7900000000,Jakarta,Jakarta Selatan,Kebayoran Baru,0,0,,,,,
Siap Huni Rumah Mewah 4 Kamar di Cengkareng Dekat ke Mana Pun,5000000000,Jakarta,Jakarta Barat,Cengkareng,4,3,200.0,300.0,5500.0,2.0,secondary
Hunian Premium di Jakarta Utara Strategis Kondisi Baik,15000000000,Jakarta,Jakarta Utara,,0,0,700.0,1000.0,0.0,1.0,secondary
"Hunian Elit LB 525m2 Siap Pakai Desain Elegan di Pondok Indah, Jakarta Selatan",34000000000,Jakarta,Jakarta Selatan,,5,5,491.0,525.0,0.0,2.0,secondary
"Hunian Mewah LB 500m2 Siap Pakai Desain Elegan di Lebak Bulus, Jakarta Selatan",26000000000,Jakarta,Jakarta Selatan,,7,5,650.0,500.0,0.0,2.0,secondary
Pacific Garden Puri,2040007500,Jakarta,Jakarta Barat,Kembangan,0,0,,,,,
"Dijual Rumah Mewah Elegan Dengan View Eksklusif di Bintaro, Jakarta Selatan",2700000000,Jakarta,Jakarta Selatan,,4,3,310.0,250.0,2200.0,0.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Radio Dalam, Jakarta Selatan",11500000000,Jakarta,Jakarta Selatan,,5,3,382.0,284.0,7700.0,2.0,secondary
Siap Huni Hunian Elit 5 Kamar di Palmerah Dekat ke Mana Saja,9500000000,Jakarta,Jakarta Barat,Palmerah,5,3,350.0,450.0,7700.0,1.0,secondary
Rumah Elit Modern Siap Huni di Petukangan Jakarta Selatan,5500000000,Jakarta,Jakarta Selatan,,5,3,403.0,357.0,2200.0,2.0,secondary
Metland Transyogi,1380000000,Jakarta,Jakarta Timur,,0,0,,,,,
Rumah Luxury Modern Siap Huni di Pondok Indah Jakarta Selatan,55000000000,Jakarta,Jakarta Selatan,,8,3,892.0,621.0,10000.0,2.0,secondary
Maison De Wisteria,2400000000,Jakarta,Jakarta Timur,Cakung,0,0,,,,,
"Hunian Super Elit dengan Akses Paling Strategis di Bintaro, Jakarta Selatan",7500000000,Jakarta,Jakarta Selatan,,4,4,670.0,320.0,0.0,1.0,secondary
For Sale! Premium House LT 167m2 Desain Elegan di Bintaro,3600000000,Jakarta,Jakarta Selatan,,4,3,167.0,171.0,4400.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Puri Indah, Jakarta Barat",25000000000,Jakarta,Jakarta Barat,,4,3,560.0,800.0,0.0,2.0,secondary
Rumah Minimalis 2 KT di Semanan Jakarta Barat Unfurnished,1680000000,Jakarta,Jakarta Barat,,2,2,84.0,69.0,2200.0,2.0,secondary
Rumah Minimalis 3 KT LT 66m2 di Metland Puri,1920000000,Jakarta,Jakarta Barat,,3,2,66.0,67.0,0.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Cideng Jakarta Pusat,6500000000,Jakarta,Jakarta Pusat,,5,4,247.0,320.0,3300.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Kedoya Selatan Jakarta Barat,7000000000,Jakarta,Jakarta Barat,,4,2,186.0,450.0,11000.0,3.0,secondary
Rumah Modern 3 Kamar LT 66m2 di Metland Puri,2200000000,Jakarta,Jakarta Barat,,3,2,66.0,82.0,2200.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Citra Garden Jakarta Barat,2800000000,Jakarta,Jakarta Barat,,3,3,90.0,170.0,0.0,2.0,secondary
"Jual Rumah Modern 3 KT di Semanan, Jakarta Barat",1940000000,Jakarta,Jakarta Barat,,3,2,90.0,122.0,0.0,2.0,secondary
"Rumah Mewah Dijual LT 264m2 di Tebet, Jakarta Selatan",8900000000,Jakarta,Jakarta Selatan,Tebet,5,3,264.0,350.0,0.0,2.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Pondok Kelapa, Jakarta Timur",2750000000,Jakarta,Jakarta Timur,,4,3,175.0,250.0,3500.0,2.0,secondary
"Hunian Cantik Minimalis Lb 148m2 di Duren Sawit, Jakarta Timur",2170000000,Jakarta,Jakarta Timur,Duren Sawit,4,3,90.0,148.0,3500.0,2.0,secondary
Siap Huni Rumah Mewah 5 Kamar di Cempaka Putih Dekat ke Mana Saja,8500000000,Jakarta,Jakarta Pusat,Cempaka Putih,5,6,183.0,427.0,5500.0,3.0,secondary
Rumah Modern 4 KT LT 79m2 di Pondok Bambu,2000000000,Jakarta,Jakarta Timur,,4,4,79.0,125.0,2200.0,3.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Kayu Putih, Jakarta Timur",3500000000,Jakarta,Jakarta Timur,,4,4,96.0,200.0,2200.0,3.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Condet, Jakarta Timur",16500000000,Jakarta,Jakarta Timur,,7,5,844.0,650.0,11000.0,2.0,secondary
For Sale! Premium House LT 590m2 Desain Modern di Jatiwaringin,8700000000,Jakarta,Jakarta Timur,,6,3,590.0,300.0,3500.0,2.0,secondary
"Dijual Hunian Rumah Terawat 3 Kamar di Cijantung, Jakarta Timur",895000000,Jakarta,Jakarta Timur,,3,2,60.0,60.0,0.0,2.0,secondary
Dijual Rumah Strategis Bagus Punya 3 KT di Duren Sawit Jakarta Timur SHM,2400000000,Jakarta,Jakarta Timur,Duren Sawit,3,2,107.0,135.0,2200.0,2.0,secondary
"Best Deal Hunian Mewah Ideal dan Luas di Cempaka Putih, Jakarta Pusat",5850000000,Jakarta,Jakarta Pusat,Cempaka Putih,4,4,169.0,290.0,3500.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Pondok Kelapa, Jakarta Timur",5700000000,Jakarta,Jakarta Timur,,6,5,206.0,500.0,0.0,3.0,secondary
For Sale! Luxury House LT 325m2 Desain Elegan di Pantai Indah Kapuk,13000000000,Jakarta,Jakarta Utara,,7,7,325.0,650.0,0.0,2.0,secondary
"Hunian Elit LB 250m2 Siap Pakai Desain Elegan di Sunter, Jakarta Utara",7000000000,Jakarta,Jakarta Utara,,4,4,180.0,250.0,0.0,3.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Cawang, Jakarta Timur",11000000000,Jakarta,Jakarta Timur,,5,5,313.0,300.0,0.0,2.0,secondary
"Hunian Eksklusif Dijual LT 90m2 di Kebon Jeruk, Jakarta Barat",3600000000,Jakarta,Jakarta Barat,Kebon Jeruk,5,2,90.0,270.0,0.0,4.0,secondary
"Dijual Hunian Rumah Nyaman 2 KT di Pantai Indah Kapuk 2, Jakarta Utara",2200000000,Jakarta,Jakarta Utara,,2,1,60.0,73.0,0.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Muara Karang, Jakarta Utara",5500000000,Jakarta,Jakarta Utara,,4,4,90.0,190.0,0.0,3.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Pantai Indah Kapuk 2, Jakarta Utara",2700000000,Jakarta,Jakarta Utara,,7,4,38.0,130.0,0.0,3.0,secondary
"Dijual Rumah Mewah Exclusive di Cilandak, Jakarta Selatan",12000000000,Jakarta,Jakarta Selatan,Cilandak,6,4,221.0,400.0,7700.0,3.0,secondary
Ready to Use! Premium House LT 117m2 Desain Elegan di Pondok Kelapa,2550000000,Jakarta,Jakarta Timur,,4,2,117.0,113.0,2200.0,2.0,secondary
Rumah Modern Cantik 5 KT Bisa Langsung Pindah di Duren Sawit,2000000000,Jakarta,Jakarta Timur,Duren Sawit,5,2,120.0,100.0,2200.0,2.0,secondary
Rumah Minimalis 3 Kamar LT 58m2 di Cibubur,764000000,Jakarta,Jakarta Timur,,3,2,58.0,70.0,2200.0,2.0,secondary
"Jual Rumah Favorit Siap Huni LB 200m2 di Cakung, Jakarta Timur",1350000000,Jakarta,Jakarta Timur,Cakung,3,3,66.0,200.0,2200.0,3.0,secondary
Rumah Elit Modern Siap Huni di Rawamangun Jakarta Timur,2900000000,Jakarta,Jakarta Timur,,10,3,173.0,190.0,4400.0,2.0,secondary
Dijual Rumah 3 Kamar Lokasi Ideal Nyaman dan Strategis di Cipayung,865000000,Jakarta,Jakarta Timur,Cipayung,3,2,45.0,80.0,2200.0,2.0,secondary
Rumah Minimalis 4 Kamar LT 170m2 di Pondok Bambu,2400000000,Jakarta,Jakarta Timur,,4,4,170.0,93.0,2200.0,3.0,secondary
Rumah Modern Cantik 3 Kamar Siap Huni di Ciracas,1380000000,Jakarta,Jakarta Timur,Ciracas,3,2,60.0,127.0,2200.0,3.0,secondary
Hunian Nyaman Asri 3 KT Siap Huni di Kalisari Jakarta Timur,690000000,Jakarta,Jakarta Timur,,3,2,40.0,52.0,2200.0,2.0,secondary
Rumah Modern 4 KT di Bambu Apus Jakarta Timur Unfurnished,2260000000,Jakarta,Jakarta Timur,,4,3,85.0,137.0,2200.0,3.0,secondary
Dijual Rumah 4 Kamar Lokasi Strategis Bagus dan Strategis di Kramat Jati,1680000000,Jakarta,Jakarta Timur,Kramat Jati,4,3,65.0,127.0,2200.0,3.0,secondary
"Dijual Cepat Rumah Bagus Siap Huni LB 70m2 di Duren Sawit, Jakarta Timur",1450000000,Jakarta,Jakarta Timur,Duren Sawit,3,2,55.0,70.0,2200.0,2.0,secondary
Rumah Modern 3 KT LT 80m2 di Cijantung,1450000000,Jakarta,Jakarta Timur,,3,2,80.0,90.0,2200.0,2.0,secondary
Rumah Luas Asri 3 KT Siap Pakai di Cibubur Jakarta Timur,850000000,Jakarta,Jakarta Timur,,3,2,63.0,80.0,2200.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Rawamangun, Jakarta Timur",2900000000,Jakarta,Jakarta Timur,,5,5,75.0,260.0,3500.0,4.0,secondary
"Hunian Cantik Modern Lb 90m2 di Cipayung, Jakarta Timur",850000000,Jakarta,Jakarta Timur,Cipayung,3,2,50.0,90.0,2200.0,2.0,secondary
"Hunian Cantik Modern Lb 82m2 di Ciracas, Jakarta Timur",1140000000,Jakarta,Jakarta Timur,Ciracas,3,2,52.0,82.0,2200.0,2.0,secondary
Hunian Nyaman Asri 3 KT Siap Pakai di Kalisari Jakarta Timur,800000000,Jakarta,Jakarta Timur,,3,2,50.0,56.0,2200.0,2.0,secondary
"Hunian Cantik Minimalis Lb 127m2 di Kramat Jati, Jakarta Timur",1880000000,Jakarta,Jakarta Timur,Kramat Jati,4,3,65.0,127.0,2200.0,3.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Pondok Bambu Jakarta Timur,3500000000,Jakarta,Jakarta Timur,,4,4,166.0,128.0,2200.0,2.0,secondary
Rumah Luas Asri 3 KT Siap Huni di Cijantung Jakarta Timur,825000000,Jakarta,Jakarta Timur,,3,2,60.0,68.0,2200.0,2.0,secondary
"Jual Rumah Luas Megah Dengan View Eksklusif di Bambu Apus, Jakarta Timur",3280000000,Jakarta,Jakarta Timur,,4,3,96.0,223.0,3500.0,3.0,secondary
Rumah Modern Cantik 4 KT Bisa Langsung Pindah di Cipayung,1680000000,Jakarta,Jakarta Timur,Cipayung,4,3,75.0,130.0,2200.0,3.0,secondary
"Jual Rumah Bagus Siap Huni LB 127m2 di Ciracas, Jakarta Timur",1450000000,Jakarta,Jakarta Timur,Ciracas,4,3,60.0,127.0,2200.0,3.0,secondary
"Jual Rumah Eksklusif 3 KT di Kalisari, Jakarta Timur",1350000000,Jakarta,Jakarta Timur,,3,2,78.0,90.0,2200.0,2.0,secondary
Rumah Modern 3 KT di Cijantung Jakarta Timur Unfurnished,950000000,Jakarta,Jakarta Timur,,3,2,75.0,83.0,1300.0,2.0,secondary
Rumah Elit Modern Tanpa Renovasi di Bambu Apus Jakarta Timur,3700000000,Jakarta,Jakarta Timur,,4,3,114.0,170.0,4400.0,3.0,secondary
"Dijual Cepat Rumah Favorit Siap Huni LB 97m2 di Cipayung, Jakarta Timur",1250000000,Jakarta,Jakarta Timur,Cipayung,3,2,75.0,97.0,2200.0,2.0,secondary
For Sale Rumah 3 Kamar Lokasi Ideal Bagus dan Strategis di Ciracas,1300000000,Jakarta,Jakarta Timur,Ciracas,3,2,60.0,49.0,2200.0,2.0,secondary
Hunian Nyaman Asri 3 KT Siap Huni di Kalisari Jakarta Timur,1350000000,Jakarta,Jakarta Timur,,3,2,80.0,90.0,2200.0,2.0,secondary
Rumah Modern Minimalis 3 KT Bisa Langsung Pindah di Cipayung,1350000000,Jakarta,Jakarta Timur,Cipayung,3,2,63.0,110.0,2200.0,2.0,secondary
Rumah Modern Cantik 4 Kamar Siap Huni di Ciracas,1450000000,Jakarta,Jakarta Timur,Ciracas,4,3,62.0,127.0,2200.0,4.0,secondary
Rumah Minimalis 4 KT di Kalisari Jakarta Timur Unfurnished,1600000000,Jakarta,Jakarta Timur,,4,3,87.0,150.0,2200.0,2.0,secondary
"Jual Rumah Favorit Siap Huni LB 75m2 di Ciracas, Jakarta Timur",1200000000,Jakarta,Jakarta Timur,Ciracas,3,2,60.0,75.0,2200.0,1.0,secondary
"Best Deal Hunian Premium Ideal dan Luas di Cipayung, Jakarta Timur",6500000000,Jakarta,Jakarta Timur,Cipayung,6,4,657.0,450.0,2200.0,1.0,secondary
"Hunian Mewah LB 180m2 Siap Pakai Desain Elegan di Kalisari, Jakarta Timur",3500000000,Jakarta,Jakarta Timur,,4,2,204.0,180.0,2200.0,1.0,secondary
"Hunian Mewah Dijual LT 1468m2 di Cipayung, Jakarta Timur",13500000000,Jakarta,Jakarta Timur,Cipayung,8,6,1468.0,950.0,10000.0,1.0,secondary
Rumah Elit Modern Tanpa Renovasi di Pondok Indah Jakarta Selatan,17500000000,Jakarta,Jakarta Selatan,,4,4,310.0,400.0,0.0,2.0,secondary
"Best Deal Hunian Mewah Ideal dan Luas di Kebayoran Baru, Jakarta Selatan",76000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,4,4,700.0,800.0,0.0,2.0,secondary
"Jual Rumah Luas Megah Dengan View Eksklusif di Kemang, Jakarta Selatan",17000000000,Jakarta,Jakarta Selatan,,5,5,985.0,500.0,0.0,2.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Lebak Bulus, Jakarta Selatan",8900000000,Jakarta,Jakarta Selatan,,5,2,366.0,190.0,4400.0,1.0,secondary
Rumah Luxury Modern Siap Huni di Cipete Jakarta Selatan,42000000000,Jakarta,Jakarta Selatan,,9,9,1925.0,850.0,0.0,1.0,secondary
Ready to Use! Luxury House LT 208m2 Desain Elegan di Senopati,9000000000,Jakarta,Jakarta Selatan,,7,4,208.0,300.0,3500.0,2.0,secondary
"Dijual Rumah Eksklusif 3 KT di Cirendeu, Jakarta Selatan",1500000000,Jakarta,Jakarta Selatan,,3,2,104.0,90.0,0.0,1.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Bendungan Hilir, Jakarta Pusat",19000000000,Jakarta,Jakarta Pusat,,7,4,319.0,400.0,4400.0,2.0,secondary
"Hunian Mewah LB 500m2 Siap Pakai Desain Elegan di Cinere, Jakarta Selatan",13500000000,Jakarta,Jakarta Selatan,,5,4,900.0,500.0,7700.0,3.0,secondary
"Rumah Elit LB 359m2 Siap Pakai Desain Elegan di Gandaria, Jakarta Selatan",13500000000,Jakarta,Jakarta Selatan,,4,4,173.0,359.0,0.0,3.0,secondary
Ready to Use! Premium House LT 480m2 Desain Elegan di Pondok Labu,8500000000,Jakarta,Jakarta Selatan,,7,5,480.0,500.0,0.0,2.0,secondary
"Rumah Elit LB 253m2 Siap Huni Desain Elegan di Ciganjur, Jakarta Selatan",3700000000,Jakarta,Jakarta Selatan,,6,3,315.0,253.0,0.0,1.0,secondary
"Rumah Eksklusif Dijual LT 469m2 di Kebayoran Baru, Jakarta Selatan",27000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,11,5,469.0,301.0,7700.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Kemang Jakarta Selatan,38000000000,Jakarta,Jakarta Selatan,,7,6,517.0,760.0,0.0,3.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Lebak Bulus Jakarta Selatan,18500000000,Jakarta,Jakarta Selatan,,8,7,650.0,500.0,0.0,2.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Senopati, Jakarta Selatan",48000000000,Jakarta,Jakarta Selatan,,6,5,370.0,810.0,0.0,3.0,secondary
"Hunian Mewah LB 337m2 Siap Huni Desain Elegan di Gandaria, Jakarta Selatan",12250000000,Jakarta,Jakarta Selatan,,4,4,161.0,337.0,0.0,3.0,secondary
Rumah Elit Modern Siap Huni di Kemang Jakarta Selatan,12500000000,Jakarta,Jakarta Selatan,,4,4,224.0,425.0,0.0,2.0,secondary
Ready to Use! Luxury House LT 209m2 Desain Modern di Kemang,12900000000,Jakarta,Jakarta Selatan,,4,4,209.0,450.0,0.0,3.0,secondary
"Jual Rumah Luas Elegan Dengan View Eksklusif di Kemang, Jakarta Selatan",4900000000,Jakarta,Jakarta Selatan,,6,4,126.0,256.0,7700.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Lebak Bulus, Jakarta Selatan",15000000000,Jakarta,Jakarta Selatan,,9,8,1037.0,1500.0,0.0,0.0,secondary
"Rumah Mewah LB 510m2 Siap Pakai Desain Elegan di Ancol, Jakarta Utara",5500000000,Jakarta,Jakarta Utara,,4,5,250.0,510.0,0.0,0.0,secondary
Ready to Use! Premium House LT 485m2 Desain Modern di Fatmawati,18000000000,Jakarta,Jakarta Selatan,,5,5,485.0,450.0,0.0,0.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Cipete, Jakarta Selatan",12500000000,Jakarta,Jakarta Selatan,,3,2,450.0,400.0,0.0,2.0,secondary
"Hot Offer Hunian Mewah Ideal dan Luas di Tebet, Jakarta Selatan",3000000000,Jakarta,Jakarta Selatan,Tebet,5,2,137.0,200.0,0.0,2.0,secondary
"Dijual Rumah Premium dengan Fasilitas Sekitar Lengkap di Kebayoran Lama, Jakarta Selatan",6900000000,Jakarta,Jakarta Selatan,Kebayoran Lama,4,4,660.0,300.0,2200.0,1.0,secondary
"Hunian Mewah LB 500m2 Siap Huni Desain Elegan di Ragunan, Jakarta Selatan",18000000000,Jakarta,Jakarta Selatan,,2,3,960.0,500.0,2200.0,1.0,secondary
"Dijual Cepat Rumah Favorit Siap Huni LB 300m2 di Pademangan, Jakarta Utara",2500000000,Jakarta,Jakarta Utara,Pademangan,4,1,173.0,300.0,0.0,2.0,secondary
"Dijual Rumah Luas Megah Dengan View Cantik di Gunung Sahari, Jakarta Pusat",12500000000,Jakarta,Jakarta Pusat,,5,3,446.0,500.0,0.0,2.0,secondary
For Sale! Premium House LT 1420m2 Desain Modern di Pondok Indah,92000000000,Jakarta,Jakarta Selatan,,8,6,1420.0,1200.0,0.0,2.0,secondary
"Rumah Eksklusif Siap Huni LT 562m2 di Kebayoran Baru, Jakarta Selatan",42000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,4,4,562.0,600.0,0.0,2.0,secondary
Siap Huni Rumah Mewah 4 Kamar di Menteng Dekat ke Mana Pun,58000000000,Jakarta,Jakarta Pusat,Menteng,4,4,753.0,520.0,0.0,1.0,secondary
"Dijual Rumah Mewah Elegan Dengan View Cantik di Kemang, Jakarta Selatan",7600000000,Jakarta,Jakarta Selatan,,4,4,177.0,285.0,0.0,3.0,secondary
"Dijual Rumah Mewah Megah Dengan View Eksklusif di Lebak Bulus, Jakarta Selatan",17900000000,Jakarta,Jakarta Selatan,,5,6,650.0,500.0,0.0,2.0,secondary
Ready to Use! Premium House LT 373m2 Desain Elegan di Cipete,16500000000,Jakarta,Jakarta Selatan,,5,5,373.0,600.0,0.0,2.0,secondary
"Best Deal Hunian Premium Ideal dan Luas di Cilandak, Jakarta Selatan",14000000000,Jakarta,Jakarta Selatan,Cilandak,4,5,384.0,850.0,0.0,3.0,secondary
"Dijual Rumah Luas Elegan Dengan View Cantik di Pejaten, Jakarta Selatan",17700000000,Jakarta,Jakarta Selatan,,6,6,360.0,1100.0,0.0,4.0,secondary
Rumah Minimalis 3 Kamar LT 113m2 di Bintaro,2000000000,Jakarta,Jakarta Selatan,,3,3,113.0,77.0,0.0,2.0,secondary
Rumah Modern 3 KT di Cirendeu Jakarta Selatan Semi Furnished,2000000000,Jakarta,Jakarta Selatan,,3,3,77.0,115.0,0.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Gandaria Jakarta Selatan,8000000000,Jakarta,Jakarta Selatan,,8,9,277.0,350.0,0.0,2.0,secondary
Rumah Elit Modern Siap Huni di Ampera Jakarta Selatan,16000000000,Jakarta,Jakarta Selatan,,8,4,632.0,500.0,0.0,2.0,secondary
Rumah Elit Modern Tanpa Renovasi di Pondok Labu Jakarta Selatan,10500000000,Jakarta,Jakarta Selatan,,6,4,360.0,211.0,0.0,2.0,secondary
Ready to Use! Premium House LT 540m2 Desain Modern di Mega Kuningan,49000000000,Jakarta,Jakarta Selatan,,4,5,540.0,1100.0,0.0,2.0,secondary
"Jual Rumah Mewah Megah Dengan View Cantik di SCBD, Jakarta Selatan",16000000000,Jakarta,Jakarta Selatan,,4,3,240.0,350.0,0.0,2.0,secondary
For Sale! Luxury House LT 1273m2 Desain Modern di Antasari,35000000000,Jakarta,Jakarta Selatan,,4,4,1273.0,400.0,0.0,2.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Pondok Indah, Jakarta Selatan",17500000000,Jakarta,Jakarta Selatan,,4,4,310.0,400.0,0.0,2.0,secondary
Siap Huni Hunian Elit 10 Kamar di Kebayoran Baru Dekat ke Mana Saja,80000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,10,8,1026.0,900.0,0.0,2.0,secondary
"For Sale Rumah Mewah Exclusive di Menteng, Jakarta Pusat",57000000000,Jakarta,Jakarta Pusat,Menteng,5,3,717.0,1200.0,0.0,1.0,secondary
Ready to Use! Premium House LT 1066m2 Desain Modern di Kemang,62000000000,Jakarta,Jakarta Selatan,,7,7,1066.0,880.0,0.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Lebak Bulus Jakarta Selatan,13700000000,Jakarta,Jakarta Selatan,,4,4,576.0,350.0,0.0,2.0,secondary
For Sale! Premium House LT 157m2 Desain Modern di Cipete,8500000000,Jakarta,Jakarta Selatan,,5,5,157.0,319.0,0.0,3.0,secondary
Siap Huni Rumah Mewah 4 Kamar di Cilandak Dekat ke Mana Pun,18500000000,Jakarta,Jakarta Selatan,Cilandak,4,4,1000.0,500.0,0.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Pejaten Jakarta Selatan,17500000000,Jakarta,Jakarta Selatan,,5,5,400.0,500.0,0.0,2.0,secondary
"Dijual Rumah Eksklusif 3 KT di Cirendeu, Jakarta Selatan",2000000000,Jakarta,Jakarta Selatan,,3,3,72.0,115.0,0.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Bintaro, Jakarta Selatan",3500000000,Jakarta,Jakarta Selatan,,5,4,240.0,255.0,0.0,2.0,secondary
Rumah Elit Modern Tanpa Renovasi di Ampera Jakarta Selatan,10000000000,Jakarta,Jakarta Selatan,,5,4,450.0,600.0,0.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Pondok Indah Jakarta Selatan,24000000000,Jakarta,Jakarta Selatan,,4,3,425.0,500.0,0.0,2.0,secondary
"Dijual Hunian Mewah dengan Fasilitas Sekitar Lengkap di Kebayoran Baru, Jakarta Selatan",50000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,4,4,830.0,700.0,0.0,2.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Kemang, Jakarta Selatan",38000000000,Jakarta,Jakarta Selatan,,5,5,517.0,760.0,0.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Cipete, Jakarta Selatan",22000000000,Jakarta,Jakarta Selatan,,4,4,915.0,300.0,0.0,1.0,secondary
"Rumah Mewah Dijual LT 277m2 di Cilandak, Jakarta Selatan",12700000000,Jakarta,Jakarta Selatan,Cilandak,4,5,277.0,630.0,0.0,3.0,secondary
Hunian Nyaman Asri 3 KT Siap Pakai di Cirendeu Jakarta Selatan,2200000000,Jakarta,Jakarta Selatan,,3,3,84.0,135.0,0.0,3.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Ampera, Jakarta Selatan",21000000000,Jakarta,Jakarta Selatan,,7,5,895.0,500.0,0.0,2.0,secondary
"Hunian Elit LB 743m2 Siap Pakai Desain Elegan di Pondok Indah, Jakarta Selatan",60000000000,Jakarta,Jakarta Selatan,,7,5,1180.0,743.0,0.0,2.0,secondary
Siap Huni Rumah Mewah 4 Kamar di Kebayoran Baru Dekat ke Mana Pun,12500000000,Jakarta,Jakarta Selatan,Kebayoran Baru,4,4,307.0,360.0,0.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Kemang, Jakarta Selatan",6400000000,Jakarta,Jakarta Selatan,,3,3,156.0,323.0,0.0,3.0,secondary
Ready to Use! Premium House LT 1013m2 Desain Elegan di Cipete,28000000000,Jakarta,Jakarta Selatan,,4,2,1013.0,354.0,0.0,1.0,secondary
"Hot Offer Hunian Premium Ideal dan Luas di Cilandak, Jakarta Selatan",16500000000,Jakarta,Jakarta Selatan,Cilandak,5,4,373.0,600.0,0.0,2.0,secondary
Rumah Minimalis 4 KT LT 73m2 di Cirendeu,1400000000,Jakarta,Jakarta Selatan,,4,3,73.0,76.0,0.0,2.0,secondary
Ready to Use! Luxury House LT 470m2 Desain Modern di Pondok Indah,18900000000,Jakarta,Jakarta Selatan,,4,4,470.0,400.0,0.0,3.0,secondary
"Hot Offer Hunian Premium Ideal dan Luas di Kebayoran Baru, Jakarta Selatan",12000000000,Jakarta,Jakarta Selatan,Kebayoran Baru,2,7,240.0,300.0,0.0,6.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Kemang, Jakarta Selatan",33000000000,Jakarta,Jakarta Selatan,,5,4,1430.0,600.0,0.0,2.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Cipete, Jakarta Selatan",8500000000,Jakarta,Jakarta Selatan,,6,5,390.0,350.0,0.0,2.0,secondary
Siap Huni Hunian Elit 6 Kamar di Cilandak Dekat ke Mana Pun,16500000000,Jakarta,Jakarta Selatan,Cilandak,6,6,329.0,677.0,0.0,2.0,secondary
Rumah Modern 3 KT LT 72m2 di Cirendeu,2200000000,Jakarta,Jakarta Selatan,,3,3,72.0,115.0,0.0,2.0,secondary
"Rumah Mewah LB 135m2 Siap Pakai Desain Elegan di Cirendeu, Jakarta Selatan",2600000000,Jakarta,Jakarta Selatan,,3,3,84.0,135.0,0.0,2.0,secondary
